zip_3,Median,Pop
404,33016.76793999999,7350.88
405,54747.05697333334,19797.666666666668
406,43283.434049999996,25014.0
407,32234.860766666665,8871.583333333334
408,26294.612205882353,996.7647058823529
409,22855.663986206895,2396.2758620689656
410,48509.28546,8950.09090909091
411,32819.20936538461,5106.807692307692
412,28313.690872413783,1721.0689655172414
413,22431.152726666664,2329.9333333333334
414,25592.127300000004,4229.833333333333
415,31765.176455263158,1794.0263157894738
416,27655.408524242423,1213.6969696969697
417,30796.594865625,1271.21875
418,30119.354718181818,940.1818181818181
420,39085.078679591825,4516.3877551020405
421,40608.559539285714,7696.678571428572
422,39483.19430689655,5128.482758620689
423,39350.94351250002,4258.475
424,42793.59913333333,5045.7037037037035
425,29229.38230714286,5604.714285714285
426,27437.589233333336,5498.083333333333
427,36908.94822424243,5448.121212121212
430,63550.922487931035,10723.5
431,51883.68653111111,7641.044444444445
432,43450.13815172413,25710.58620689655
433,47690.85982777777,4772.75
434,55624.94173902439,3995.1463414634145
435,54910.05999599999,5635.12
436,40355.21153529412,21505.764705882353
437,41417.11192363635,3456.7818181818184
438,44360.46451764706,3690.0
439,39499.67491090909,3413.690909090909
440,57916.43200178572,14773.732142857143
441,47740.20947916667,27635.416666666668
442,60807.867699999995,11954.522727272728
443,38433.786411764704,16795.647058823528
444,45681.54340400002,7283.04
445,30248.905441666662,15016.833333333334
446,46971.21163582091,6570.507462686567
447,39941.524278571436,14250.57142857143
448,50533.888163157884,6037.298245614035
449,41056.33992857143,13879.0
450,61344.934578125,15368.125
451,53645.8351361702,6528.0
452,50523.46075555555,18651.8
453,54341.31407012987,6184.168831168831
454,47332.32232857143,18007.64285714286
455,43303.13774,21444.0
456,37261.19774754099,5570.524590163935
457,37450.28655813954,3466.5348837209303
458,52515.36614683544,4672.5822784810125
460,61758.77061590909,11566.227272727272
461,58666.22701694918,8902.35593220339
462,52348.208572972966,24598.594594594593
463,57557.347995454555,15007.931818181818
464,32879.405133333334,15028.555555555555
465,51847.511528260875,10352.260869565218
466,40490.27049,14545.9
467,52297.00282542372,5559.661016949152
468,50680.1742625,19088.0625
469,48429.048208771936,5466.543859649123
470,51469.02591111111,4383.222222222223
471,49731.79024318182,6601.863636363636
472,48963.43441612903,6677.741935483871
473,44992.82531249999,5778.053571428572
474,43935.52300975609,6337.365853658536
475,48388.08110192307,3155.730769230769
476,45277.08083461538,4658.807692307692
477,46171.82207777778,20304.11111111111
478,45807.241854545464,4238.159090909091
479,48460.52380161289,4708.209677419355
480,60987.36189855072,15994.36231884058
481,60987.760164285704,21233.9
482,34485.58163333332,32862.0
483,74891.12398846154,17935.98076923077
484,49515.1053,7508.603448275862
485,36066.30937272727,19645.18181818182
486,40653.746243999994,8128.14
487,37802.97099387754,4369.775510204082
488,48397.05214189189,7355.0
489,39870.52344285714,23074.285714285714
490,45031.50702948718,9202.28205128205
491,46797.60481,5451.2
492,49883.201212280714,5877.19298245614
493,48795.80433170731,6752.219512195122
494,43151.661057446814,10965.08510638298
495,48081.33719285716,28875.5
496,39313.474432307696,3451.8
497,38639.7832676923,3308.6
498,39549.5548,2818.2950819672133
499,36320.757769565214,1789.0434782608695
500,53059.73078166666,3602.116666666667
501,52498.212821538466,2592.4153846153845
502,55945.98133387097,3454.2258064516127
503,56599.51299999999,17763.0
504,48310.61092037038,1901.8148148148148
505,45832.25281388889,1721.6666666666667
506,50181.848158730165,2706.2698412698414
507,40177.593375,19666.5
508,44158.63657777778,1252.2592592592594
510,51738.75655471698,1658.1509433962265
511,39426.428525,10735.5
512,49622.327785,2226.1
513,50735.11441818182,2150.681818181818
514,46793.95729655172,1651.4827586206898
515,54170.84723703703,2755.6296296296296
516,48501.8106631579,1270.5263157894738
520,49461.74273999999,3540.025
521,47912.15054687502,1861.4375
522,53359.45210217392,3651.804347826087
523,58935.26991538463,2981.75
524,55054.46048333333,22358.666666666668
525,45206.985802083334,2340.0
526,49257.79375,3306.46875
527,58834.15271428571,4028.8571428571427
528,41553.565383333334,17086.0
530,66822.96709459458,8592.351351351352
531,65411.778371153836,13123.51923076923
532,44391.05494000001,27243.733333333334
534,48445.60146,25460.4
535,58862.368285,6767.8625
537,50475.18794285715,18850.0
538,44077.574425,2990.3
539,50435.3488911111,4380.6
540,61166.349352000005,5874.8
541,49401.5812,4721.169811320755
542,53478.52733461539,4832.961538461538
543,48485.59136666667,28363.833333333332
544,48301.3439263158,5023.855263157895
545,42123.34466666666,1955.911111111111
546,46601.759128846155,4529.096153846154
547,45479.692995918376,5163.469387755102
548,42061.27318666667,2886.2833333333333
549,53187.79989636363,8696.290909090909
550,66341.39159565217,8062.057971014493
551,63702.86177999999,24548.7
553,70591.94916860465,9303.813953488372
