"","last_fico_range_high","last_fico_range_low","pub_rec_bankruptcies","revol_util","inq_last_6mths","is_rent","is_bad"
"419",709,705,0,50.1,0,FALSE,0
"420",554,550,0,53.7,1,FALSE,0
"421",724,720,0,44,1,FALSE,0
"422",669,665,0,69.1,0,TRUE,0
"423",499,0,1,83.7,2,TRUE,1
"424",679,675,0,62.3,0,TRUE,0
"425",524,520,0,61.5,2,TRUE,1
"426",699,695,0,75.9,2,TRUE,0
"427",669,665,0,76.6,1,FALSE,0
"428",704,700,0,56,0,FALSE,0
"429",709,705,0,68.1,2,FALSE,0
"430",729,725,0,62.7,2,FALSE,0
"431",549,545,0,50.5,3,FALSE,1
"432",754,750,0,66.1,2,TRUE,0
"433",699,695,0,96,1,TRUE,0
"434",499,0,0,68.8,0,TRUE,1
"435",669,665,0,60.8,1,FALSE,0
"436",664,660,0,41,2,TRUE,1
"437",699,695,0,80.6,0,TRUE,0
"438",509,505,0,76.5,1,TRUE,0
"439",684,680,0,63,1,FALSE,0
"440",729,725,0,10.4,4,FALSE,0
"441",724,720,0,75.9,0,TRUE,0
"442",809,805,0,25,0,FALSE,0
"443",754,750,0,6,0,FALSE,0
"444",719,715,0,87.1,0,TRUE,0
"445",679,675,0,63.6,1,TRUE,0
"446",824,820,0,17.3,0,FALSE,0
"447",734,730,0,98,1,FALSE,0
"448",714,710,0,72.2,0,FALSE,0
"449",669,665,0,86.1,1,TRUE,0
"450",679,675,0,52.7,1,FALSE,0
"451",689,685,0,83.5,0,TRUE,0
"452",659,655,0,74.9,0,FALSE,0
"453",699,695,0,65.2,2,FALSE,0
"454",774,770,0,62.6,1,FALSE,0
"455",824,820,0,38.1,0,TRUE,0
"456",609,605,0,74.7,1,FALSE,0
"457",694,690,0,85,3,FALSE,0
"458",779,775,0,6.8,0,FALSE,0
"459",599,595,0,79.3,0,TRUE,1
"460",539,535,0,74.9,0,FALSE,0
"461",739,735,0,72.1,1,FALSE,0
"462",604,600,0,31.4,3,TRUE,0
"463",504,500,0,77,1,TRUE,1
"464",779,775,0,24.4,1,FALSE,0
"465",584,580,0,64.6,2,FALSE,1
"466",674,670,0,68.7,0,FALSE,0
"467",504,500,0,84.1,0,TRUE,1
"468",739,735,0,88.5,0,FALSE,0
"469",689,685,0,90.1,2,TRUE,0
"470",679,675,0,67.7,1,FALSE,0
"471",679,675,0,89.6,0,TRUE,0
"472",829,825,0,5.9,2,TRUE,0
"473",624,620,0,74.4,0,FALSE,0
"474",789,785,0,65.9,0,TRUE,0
"475",734,730,0,10.4,0,TRUE,0
"476",684,680,0,38.4,2,FALSE,0
"477",599,595,0,92.5,1,TRUE,1
"478",694,690,0,89.1,2,FALSE,0
"479",649,645,0,35.7,1,TRUE,0
"480",799,795,0,82.9,0,TRUE,0
"481",619,615,0,81,0,TRUE,1
"482",704,700,0,15.7,0,TRUE,0
"483",744,740,0,83.5,0,FALSE,0
"484",814,810,0,51.8,1,TRUE,0
"485",644,640,0,83.7,3,FALSE,1
"486",644,640,0,66.9,0,TRUE,0
"487",744,740,0,58.7,1,FALSE,0
"488",754,750,0,62.4,1,FALSE,0
"489",644,640,0,85.3,0,TRUE,1
"490",649,645,0,37.6,0,TRUE,1
"491",594,590,0,7.7,1,TRUE,0
"492",589,585,0,97.4,0,TRUE,0
"493",724,720,0,91.7,0,FALSE,0
"494",664,660,0,18.8,2,FALSE,0
"495",594,590,0,94.4,0,FALSE,0
"496",734,730,0,46,0,FALSE,0
